"text","label"
"MNPしたら今の端末はそのまま使えますか"？","解約・MNP"
"MNPしたら解約金はいくらですか"？","解約・MNP"
"この店で携帯電話の解約は出来ますか"？","解約・MNP"
"MNPをしたら今月の料金はどうなりますか"？","解約・MNP"
"携帯会社を乗り換えたらこのスマホはいくらになりますか"？","解約・MNP"
"携帯会社を乗り換えたら電話番号はそのまま使える"？","解約・MNP"
"いつ解約したら解約金はかかりませんか"？","解約・MNP"
"家族全員MNPしたら手続き時間はどれくらいかかりますか"？","解約・MNP"
"どうしてMNPすると端末が安く買えるんですか"？","解約・MNP"
"MNPするならいつ頃手続きするのがお得ですか"？","解約・MNP"
"私は毎月いくらぐらい携帯料金を支払っていますか"？","料金"
"先日MNPの契約をここでしたが聞いていた料金と違うけどどういうこと？","料金"
"機種変更したいのですが毎月いくらぐらいになる"？","端末・機種変更"
"先日MNPの契約をしたんだけど見積もりを紛失したのでもう一度見積もりを作成できますか？","料金"
"今の機種の残債はあと何ヶ月残っている"？","端末・機種変更"
"使用していない余計なオプションはなにか付いていますか"？","料金"
"一番安い料金プランはいくらですか"？","料金"
"電話かけ放題は継続しておいたほうがお得"？","料金"
"契約した初月の料金はいくらかかりますか"？","料金"
"先月から料金が急に上がったんだけどなんでですか"？","料金"
"5分かけ放題オプションは5分過ぎるといくらですか"？","料金"
"スマホ一括で買ったらいくらですか"？","端末・機種変更"
"機種変更したら、データ移行してくれますか"？","端末・機種変更"
"ここでスマホ買ったら、携帯会社のポイントは使えますか"？","端末・機種変更"
"ショップで機種買うのと、ここで買うのはなにが違う"？","端末・機種変更"
"残債が残ってても機種変更出来ますか"？","端末・機種変更"
"このスマホを下取りに出したらいくらですか"？","端末・機種変更"
"携帯会社を乗り換えず、そのまま機種を買えますか"？","端末・機種変更"
"このプランに加入しなかったら、機種はいくらですか"？","端末・機種変更"
"端末補償は入ったほうがいいですか"？","端末・機種変更"
"今使っている回線を今月中に解約したいのですが可能ですか？","解約・MNP"
"他社に乗り換えたいのですが、まず何からすればいいですか？","解約・MNP"
"オンラインで契約した回線でもこの店舗で解約できますか？","解約・MNP"
"MNPした場合、旧回線は自動で解約されますか？","解約・MNP"
"解約したら日割り計算になりますか？","解約・MNP"
"月末にMNPしたほうがお得と聞いたのですが本当ですか？","解約・MNP"
"MNP予約番号の有効期限が切れたらどうなりますか？","解約・MNP"
"解約手続きをしたあと、いつ回線が止まりますか？","解約・MNP"
"家族名義の回線を代理で解約することはできますか？","解約・MNP"
"法人契約の回線もMNPで乗り換えできますか？","解約・MNP"
"今月の請求金額が思ったより高いのですが理由を教えてください","料金"
"契約時にもらった見積もりと請求額が違うのですが確認できますか？","料金"
"オプションを外したら料金はいくら下がりますか？","料金"
"今のプランを一番安いものに変更した場合の金額を知りたいです","料金"
"家族割引は料金にどれくらい影響しますか？","料金"
"通話料金はどのくらい使ったか確認できますか？","料金"
"データを使いすぎた月は追加料金がかかりますか？","料金"
"支払い方法を変更したら料金の反映はいつからですか？","料金"
"初月と翌月で料金が違うのはなぜですか？","料金"
"割引キャンペーンはいつまで適用されますか？","料金"
"今使っているスマホから新しい機種に変更したいです","端末・機種変更"
"データ移行はどこまで対応してもらえますか？","端末・機種変更"
"機種変更すると今のアクセサリーは使えますか？","端末・機種変更"
"在庫がない場合、取り寄せはできますか？","端末・機種変更"
"分割払いと一括払いではどちらがお得ですか？","端末・機種変更"
"機種変更にかかる手数料はいくらですか？","端末・機種変更"
"古い端末は返却しないといけませんか？","端末・機種変更"
"子供用にスマホを機種変更したいのですが制限はかけられますか？","端末・機種変更"
"故障した端末でも機種変更は可能ですか？","端末・機種変更"
"予約した機種はいつ頃入荷しますか？","端末・機種変更"
"今月の携帯料金の合計はいくらですか？","料金"
"先月の請求と比べていくら増えましたか？","料金"
"料金が高い原因を一緒に見てほしいです","料金"
"請求の内訳（基本料・通話料・オプション）を教えてください","料金"
"データ容量を増やすと月額はいくら上がりますか？","料金"
"今のプランだと月額はいくらですか？","料金"
"最安プランにすると月いくらになりますか？","料金"
"料金プランを変更したらいつから反映されますか？","料金"
"プラン変更した月の料金は日割りですか？","料金"
"通話料は何円かかっていますか？","料金"
"5分かけ放題の超過分はどう計算されますか？","料金"
"かけ放題を付けた場合の月額はいくらですか？","料金"
"かけ放題を外したら月額はいくらになりますか？","料金"
"オプション料金がいくらかかっているか知りたいです","料金"
"不要なオプションを外したいです（料金も下げたい）","料金"
"留守電オプションの月額はいくらですか？","料金"
"迷惑電話対策オプションは有料ですか？","料金"
"安心サポートの月額はいくらですか？","料金"
"請求書（紙）は有料ですか？","料金"
"支払い方法を口座振替に変更できますか？","料金"
"支払い方法をクレジットカードに変更できますか？","料金"
"引き落とし日（支払日）はいつですか？","料金"
"締め日と請求月の関係を教えてください","料金"
"契約初月の料金はどれくらいになりますか？","料金"
"解約した月の料金はどうなりますか？","料金"
"データを使い切った後の追加料金はありますか？","料金"
"速度制限になったら追加料金が発生しますか？","料金"
"海外で使った場合の料金はかかりますか？","料金"
"国際電話をかけた場合の料金を知りたいです","料金"
"ユニバーサルサービス料と電話リレーサービス料って何ですか？","料金"
"この機種は5Gに対応していますか？","端末・機種変更"
"このスマホの容量は何GBですか？","端末・機種変更"
"この端末はeSIMに対応していますか？","端末・機種変更"
"デュアルSIM（2枚挿し）できますか？","端末・機種変更"
"この機種はSIMフリーですか？","端末・機種変更"
"この端末はSIMロック解除が必要ですか？","端末・機種変更"
"中古端末でも問題なく使えますか？","端末・機種変更"
"このスマホは防水ですか？","端末・機種変更"
"おサイフケータイは使えますか？","端末・機種変更"
"この機種はワイヤレス充電に対応していますか？","端末・機種変更"
"画面が割れたので修理できますか？","端末・機種変更"
"バッテリー交換はできますか？","端末・機種変更"
"機種変更したらLINEの引き継ぎはどうやりますか？","端末・機種変更"
"iPhoneからAndroidに変えるとデータ移行は難しいですか？","端末・機種変更"
"この端末でテザリングは使えますか？","端末・機種変更"
"このスマホは海外でも使えますか？","端末・機種変更"
"この機種のカメラ性能はどのくらいですか？","端末・機種変更"
"microSDカードは使えますか？","端末・機種変更"
"端末の初期設定は手伝ってもらえますか？","端末・機種変更"
"この機種は指紋認証と顔認証どちらに対応していますか？","端末・機種変更"